t_rel,raw_0,raw_1,raw_2,deg_0,deg_1,deg_2
16.463273763656616,3826,0,0,336.27,0.00,0.00
16.57717800140381,3826,0,0,336.27,0.00,0.00
16.69266152381897,3826,0,0,336.27,0.00,0.00
16.80780577659607,3826,0,0,336.27,0.00,0.00
16.92269802093506,3828,0,0,336.45,0.00,0.00
17.038532972335815,3828,0,0,336.45,0.00,0.00
17.152592658996582,3828,0,0,336.45,0.00,0.00
17.26766562461853,3827,0,0,336.36,0.00,0.00
17.382201433181763,3823,0,0,336.01,0.00,0.00
17.497694969177246,3817,0,0,335.48,0.00,0.00
17.61284565925598,3813,0,0,335.13,0.00,0.00
17.728204011917114,3804,0,0,334.34,0.00,0.00
17.843072414398193,3799,0,0,333.90,0.00,0.00
17.957985639572144,3798,0,0,333.81,0.00,0.00
18.07288956642151,3798,0,0,333.81,0.00,0.00
18.187670707702637,3798,0,0,333.81,0.00,0.00
18.302674531936646,3799,0,0,333.90,0.00,0.00
18.41798710823059,3798,0,0,333.81,0.00,0.00
18.533034563064575,3798,0,0,333.81,0.00,0.00
18.647718906402588,3798,0,0,333.81,0.00,0.00
18.7628116607666,3797,0,0,333.72,0.00,0.00
18.87733793258667,3795,0,0,333.54,0.00,0.00
18.99282693862915,3794,0,0,333.46,0.00,0.00
19.1071879863739,3793,0,0,333.37,0.00,0.00
19.222798585891724,3795,0,0,333.54,0.00,0.00
19.33795142173767,3823,0,0,336.01,0.00,0.00
19.453075647354126,3825,0,0,336.18,0.00,0.00
19.567214012145996,3826,0,0,336.27,0.00,0.00
19.6829731464386,3826,0,0,336.27,0.00,0.00
19.797771215438843,3826,0,0,336.27,0.00,0.00
19.912237644195557,3827,0,0,336.36,0.00,0.00
20.02780055999756,3826,0,0,336.27,0.00,0.00
20.142980575561523,3827,0,0,336.36,0.00,0.00
20.257834911346436,3826,0,0,336.27,0.00,0.00
20.372716426849365,3827,0,0,336.36,0.00,0.00
20.48799991607666,3826,0,0,336.27,0.00,0.00
20.60311770439148,3826,0,0,336.27,0.00,0.00
20.71790838241577,3827,0,0,336.36,0.00,0.00
20.832855224609375,3827,0,0,336.36,0.00,0.00
20.948163270950317,3826,0,0,336.27,0.00,0.00
21.063037872314453,3827,0,0,336.36,0.00,0.00
21.1782169342041,3826,0,0,336.27,0.00,0.00
21.29323649406433,3826,0,0,336.27,0.00,0.00
21.40806269645691,3826,0,0,336.27,0.00,0.00
21.52343773841858,3826,0,0,336.27,0.00,0.00
21.63721513748169,3827,0,0,336.36,0.00,0.00
21.75237536430359,3827,0,0,336.36,0.00,0.00
21.867766857147217,3827,0,0,336.36,0.00,0.00
21.982730388641357,3827,0,0,336.36,0.00,0.00
22.097986698150635,3827,0,0,336.36,0.00,0.00
22.213016748428345,3827,0,0,336.36,0.00,0.00
22.328233242034912,3827,0,0,336.36,0.00,0.00
22.4422767162323,3826,0,0,336.27,0.00,0.00
22.557944536209106,3827,0,0,336.36,0.00,0.00
22.6722092628479,3830,0,0,336.62,0.00,0.00
22.788100957870483,3825,0,0,336.18,0.00,0.00
22.902884244918823,3822,0,0,335.92,0.00,0.00
23.018166303634644,3817,0,0,335.48,0.00,0.00
23.132967233657837,3813,0,0,335.13,0.00,0.00
23.24782156944275,3798,0,0,333.81,0.00,0.00
23.362895011901855,3797,0,0,333.72,0.00,0.00
23.477267026901245,3797,0,0,333.72,0.00,0.00
23.592751026153564,3796,0,0,333.63,0.00,0.00
23.707916736602783,3796,0,0,333.63,0.00,0.00
23.822633504867554,3797,0,0,333.72,0.00,0.00
23.938103675842285,3795,0,0,333.54,0.00,0.00
24.052809953689575,3796,0,0,333.63,0.00,0.00
24.167251586914062,3796,0,0,333.63,0.00,0.00
24.28321886062622,3794,0,0,333.46,0.00,0.00
24.39751648902893,3793,0,0,333.37,0.00,0.00
24.512706518173218,3792,0,0,333.28,0.00,0.00
24.627238988876343,3792,0,0,333.28,0.00,0.00
